anime_ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites
35404,Felix no Meitantei,FELIXノ迷探偵,Detective Felix in Trouble,"Looking for Hanako's stolen shoes, black cat detective Felix starts to move.
",Movie,1.0,Finished Airing,1932-01-01,,Unknown,Unknown,Unknown,Original,Mystery,Unknown,Unknown,10.0,G - All Ages,4.701,262.0,127692.0,13849,523,1
3743,Murder,殺人,Murder,Short animated film by acclaimed multi-talented artist Makoto Wada.,Movie,1.0,Finished Airing,1964-01-01,,Unknown,Unknown,Unknown,Unknown,Mystery,"Parody, Vampire",Unknown,9.0,PG-13 - Teens 13 or older,5.171,1190.0,120532.0,10031,2047,2
1984,Memory,めもりい,Unknown,"This is a short, privately produced animated film. While elucidating the mystery and fuzziness as well as merits and demerits of memory in idealizing reality, the story develops into a tale of destruction of human beings, turning the existence of the earth into a memory of the universe. The production, only 5 minutes long, greatly helps expand the viewer's imagination, embodying the enchantment of animation.

(Source: AniDB)",Movie,1.0,Finished Airing,1964-09-21,,Mushi Production,Unknown,Unknown,Original,Mystery,Unknown,Unknown,5.0,PG-13 - Teens 13 or older,6.021,1623.0,89612.0,9074,2898,1
19991,Tobidase! Bacchiri,とびだせ! バッチリ,Unknown,"The adventures of jug-eared schoolboy detective Bacchiri, who can solve cases that baffle the police, thanks to his brilliantly ingenious mind. The 10 minutes episodes aired daily, Monday through Saturday.

(Source: The Anime Encyclopedia & AniDB)
",TV,132.0,Finished Airing,1966-11-14,1967-04-15,Nihon Hoso Eigasha,Unknown,Unknown,Unknown,"Comedy, Mystery",Unknown,Kids,10.0,PG - Children,,,155982.0,15554,330,0
3024,Ribbon no Kishi,リボンの騎士,Princess Knight,"Princess Sapphire is a girl raised as a Prince. Through the mischief of an angel, the princess is born with both a girl's body and boy's mind. Since there is no boy successor in her kingdom, Sapphire is raised as a boy, but evil ministers try to reveal her secret. Unable to put up with the kind of vicious conduct prevailing in the kingdom, Sapphire disguises herself as ""Princess Knight"" and wields her sword of justice.

This is an animated version of the girls' manga featuring Sapphire's romance and adventure, which marked the first made-for-TV animated program geared towards girls in Japan.

(Source: Official site)",TV,52.0,Finished Airing,1967-04-02,1968-04-07,Fuji TV,Nozomi Entertainment,Mushi Production,Manga,"Action, Fantasy, Mystery, Romance",Crossdressing,young girl,23.0,PG-13 - Teens 13 or older,6.711,1281.0,52382.0,7792,4637,13
12139,Wanpaku Tanteidan,わんぱく探偵団,Unknown,"A group of young boys (plus a token girl and her little brother, the obligatory brat) form a detective club, pooling their talents for brain, brawn, invention, and driving skills to solve crimes in Tokyo. Much to the consternation of police chief Nakamura, they often succeed where the professionals fail.

(Source: The Anime Encyclopedia)",TV,35.0,Finished Airing,1968-02-01,1968-09-26,Fuji TV,Unknown,Mushi Production,Unknown,"Action, Mystery",Unknown,Unknown,25.0,PG-13 - Teens 13 or older,,,159112.0,12815,740,1
1412,Lupin III,ルパン三世,Lupin III,"Arsène Lupin III is the grandson of world-famous thief Arsène Lupin, and he's living up to his grandfather's memory as a high-profile thief himself. Due to his infamy, Lupin III attracts the attention of the persistent Inspector Zenigata of the ICPO, as well as rival criminals. Lupin III's criminal lifestyle even seeps into his love life. The main woman in Lupin III's world is femme fatale Fujiko Mine, who Lupin III can never tell is working with or against him. Follow Lupin and his gunman partner Daisuke Jigen on their quest to own the world－or at least the valuable bits!",TV,23.0,Finished Airing,1971-10-24,1972-03-26,"TMS Entertainment, Group TAC",Discotek Media,Tokyo Movie Shinsha,Manga,"Action, Adventure, Comedy, Mystery",Adult Cast,teenager,25.0,PG-13 - Teens 13 or older,7.641,29228.0,12352.0,1883,94126,873
4332,Seigi wo Aisuru Mono Gekkou Kamen,正義を愛する者、月光仮面,Unknown,"Moonlight Mask's identity has always been a mystery (which is why the Moonlight Mask persona is credited as being played by ""?"" in the original series).

Decked out in white tights, white & red cape, white scarf, yellow gloves & boots, dark glasses, face cloth and Indian-style turban (pinned with a ""moon"" ornament), Moonlight Mask is armed with a whip, two six-shooters, shuriken and moon-shaped boomerangs. He also rides a motorcycle.

However, only audiences know that Moonlight Mask could very well be detective Juurou Iwai who seems to disappear from his friends before the caped crusader rides to the rescue in his motorcycle! Even his comical assistant Gorohachi Fukuro, his friend Inspector Matsuda, and children Shigeru, Kaboko and Fujiko are oblivious to Iwai's secret identity.

(Source: Wikipedia)",TV,39.0,Finished Airing,1972-01-10,1972-10-02,Unknown,Unknown,Knack Productions,Unknown,"Action, Mystery",Unknown,Unknown,25.0,PG-13 - Teens 13 or older,6.621,244.0,57202.0,12228,902,4
43774,Sherlock Holmes to Watson Hakase,シャーロックホームズとワトソン博士,Unknown,Music video for the song Sherlock Holmes to Watson Hakase by Kei Tani that was featured on NHK's Minna no Uta program. It is an original Japanese song that pays homage to Arthur Conan Doyle's Sherlock Holmes series. The video was animated by Hal Fukushima.,Music,1.0,Finished Airing,1975-12-02,,NHK,Unknown,Unknown,Novel,Mystery,Music,Kids,2.0,G - All Ages,,,148912.0,18505,143,0
3294,Gasshin Sentai Mechander Robo,合身戦隊メカンダーロボ,Combining Squadron Mechander Robo,"The Doron Empire from the Ganymede System discovered Earth as an ideal world for them to conquer.  The interest of expanding the empire came as a result of the power-hungry General Ozmel who overthrew the current reigning Queen Medusa of the Ganymede System as a start of their universal conquest.

Almost completely succumbed to the empire, Earth is at its last days, and one scientist, Dr. Shikishima, had only one hope in restoring Earth from its alien conquerors--- a massive mecha known as the Mechander Robo, specially programmed and designed to battle these invading aliens from complete takeover of Earth.  Along with this awesome fighter machine, Dr. Shikishima also recruited three pilots to be placed behind the Mechander Robo's controls--- the mysterious Jimmy Orion, the scientist's son Ryosuke Shikishima, and Kojiro Hachijima.

Although the primary storyline is Earth battling the Doron Empire, there is something within lead pliot Jimmy Orion's past that was somewhat connected towards the entire storyline.",TV,35.0,Finished Airing,1977-03-03,1977-12-29,Wako Productions,Unknown,Unknown,Unknown,"Mystery, Sci-Fi","Mecha, Military, Space",Unknown,23.0,PG-13 - Teens 13 or older,5.651,208.0,105682.0,12192,912,2
1425,Lupin III: Part II,新・ルパン三世,Unknown,"Lupin III chronicles the adventures of Arsene Lupin III, the world's greatest thief, and his partners in crime: master marksman Daisuke Jigen, beautiful and scheming Fujiko Mine and stoic samurai Goemon Ishikawa XIII. Lupin and his gang travel around the globe in search of the world's greatest treasures and riches and always keeping one step ahead of the tireless Inspector Zenigata, who has vowed to bring Lupin to justice. 

(Source: ANN)",TV,155.0,Finished Airing,1977-10-03,1980-10-06,"VAP, Animax, Studio Jack, Streamline Pictures","Discotek Media, Geneon Entertainment USA",Tokyo Movie Shinsha,Manga,"Action, Adventure, Comedy, Mystery",Adult Cast,teenager,25.0,PG-13 - Teens 13 or older,7.781,10860.0,9102.0,3463,31581,312
3435,Joou Heika no Petite Angie,女王陛下のプティアンジェ,Angie Girl,"19th century London. Angie is a 12-year-old girl, descended from nobility. She once helped to solve the Queen’s jewel robbery case and since then, the Queen has appointed her to work on particularly difficult cases. Her brilliance and courage overwhelm many grownups. She is assisted by other children and Detective Michael of Scotland Yard.

This series is full of fun, suspense and pathos, showing how Angie uses her wits to solve case after case.

(Source: Nippon Animation)",TV,26.0,Finished Airing,1977-12-13,1978-06-27,Unknown,Unknown,"Nippon Animation, Production Reed",Original,Mystery,Historical,young girl,24.0,PG-13 - Teens 13 or older,6.341,321.0,72872.0,11136,1348,6
2618,Takarajima,宝島,Treasure Island,"Jim Hawkins is a young boy lead by progressive events to embark on a search journey for the legendary treasure of the once dreaded pirate, Captain Flint. On their way to Treasure Island, John Silver, Jim's best friend, take over command of the ship revealing his true self as the ruthless pirate who once was the right hand of Flint himself. Feeling betrayed, Jim now has to deal with his mixed feelings and face Silver who still consider himself and Jim as friends. 

(Source: ANN)",TV,26.0,Finished Airing,1978-10-08,1979-04-01,Tokyo Movie Shinsha,Unknown,"Madhouse, TMS Entertainment",Novel,"Adventure, Drama, Mystery",Historical,Unknown,24.0,PG-13 - Teens 13 or older,7.941,6227.0,6522.0,4507,18108,245
1435,Lupin III: Lupin vs. Fukusei-ningen,ルパンvs複製人間,Lupin III The Secret of Mamo,"Lupin, the master thief/spy/Jack of all Trades, has been executed, but he is still alive, and not even Lupin himself knows how that is possible. While trying to figure out, however, he and his gang are thrust into a conspiracy involving clones, Lupin's un-trustworthy rival Fujiko, and a miniature madman's plot to take over the world.

(Source: ANN)
",Movie,1.0,Finished Airing,1978-12-16,,Streamline Pictures,"Discotek Media, Geneon Entertainment USA",Tokyo Movie Shinsha,Manga,"Action, Adventure, Comedy, Mystery",Adult Cast,teenager,102.0,R+ - Mild Nudity,6.971,6388.0,40412.0,5244,12388,30
1428,Lupin III: Pilot Film (1978),ルパン三世 シークレットファイル,Unknown,"A remastered version of the Pilot film, realised in 1978, re-photographed in cinemascope and re-dubbed for being screened in cinema before of 1st movie [Mamoo's 1st copy]. In 1989, it was included on the Lupin III - Secret File OVA.
",Movie,1.0,Finished Airing,1978-12-16,,"Tokyo Movie Shinsha, Toho",Unknown,Unknown,Manga,"Action, Adventure, Comedy, Mystery",Adult Cast,teenager,12.0,PG-13 - Teens 13 or older,6.311,1996.0,73982.0,7477,5156,2
17403,Kaitou Lupin: 813 no Nazo,怪盗ルパン 813の謎,Unknown,"Based on the novel ""813"" by Maurice Leblanc.",Special,1.0,Finished Airing,1979-05-05,,Fuji TV,Unknown,Tatsunoko Production,Unknown,Mystery,Unknown,Unknown,80.0,PG-13 - Teens 13 or older,6.221,132.0,79232.0,12242,899,1
10965,Kagaku Bouken-tai Tansar 5,科学冒険隊タンサー5,Unknown,"In 1999, a special mystery/paranormal investigative unit consisting of five youths is formed. The series uses a mix of real tokusatsu footage (vehicle scenes) and animation (character drama).",TV,34.0,Finished Airing,1979-07-27,1980-03-28,Unknown,Unknown,Sunrise,Unknown,"Adventure, Mystery, Sci-Fi, Supernatural",Unknown,Unknown,24.0,PG-13 - Teens 13 or older,,,188982.0,14347,445,0
1430,Lupin III: Cagliostro no Shiro,ルパン三世 カリオストロの城,Lupin III The Castle of Cagliostro,"Arsene Lupin III discovers that the spoils from his latest casino robbery are actually ""Gothic Bills,"" legendary counterfeits that are nigh impossible to distinguish from genuine bills. Together with colleague Daisuke Jigen, he heads to the small nation of Cagliostro to investigate the origin of these counterfeits. Upon arrival, they save a girl from a high-speed chase who turns out to be Clarisse d' Cagliostro, the daughter of the late Duke d' Cagliostro. She is running from a sinister plot by Count Cagliostro to steal her family's treasure through a forced marriage.

Natural flirt Lupin dislikes seeing a girl in distress and seeks to remedy the situation. Goemon Ishikawa XIII, Fujiko Mine, and Kouichi Zenigata also join the fray, each with their own motivations. As everyone converges at Cagliostro Castle, Lupin reminisces about his visit there 10 years ago, and the castle's secrets emerge from the depths.

[Written by MAL Rewrite]
",Movie,1.0,Finished Airing,1979-12-15,,Streamline Pictures,"Discotek Media, Manga Entertainment",Tokyo Movie Shinsha,Manga,"Action, Adventure, Comedy, Mystery",Adult Cast,teenager,99.0,PG-13 - Teens 13 or older,8.151,67327.0,3732.0,1734,105840,1185
