ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
12039,What's Michael? (TV),ホワッツマイケル?,Unknown,"Michael is a fat orange cat who lives with a pair of well-meaning but very stupid humans who fondly imagine he is their pet. But Michael's own daily life is rich in all kinds of little incidents and upheavals-avoiding local bad cat Nyazilla, a monster against whom Michael knows he'll always come out worse, scrounging food from local stores, meeting up with his animal friends, and keeping the humans amused as best he can. And Michael also has a fantasy life even his fellow feline Garfield would envy, with cat corporations, cat nightclubs, and his own imitation of a dancing American megastar also called Michael.

(Source: The Anime Encyclopedia)",TV,45.0,Finished Airing,"Apr 15, 1988","Mar 28, 1989",Studio Jack,Unknown,Daume,Manga,Comedy,Pets,Unknown,25.0,PG - Children,6.021,131.0,89752.0,12477,828,0,1988.0
37325,Kuroneko Monroe,黒猫モンロヲ,Unknown,"The series follows the black cat Monroe and the human Yoppy and their ""normal and special everyday lives.""

(Source: ANN)",TV,23.0,Finished Airing,"Apr 17, 2018","Sep 25, 2018",Unknown,Unknown,Unknown,Manga,Comedy,Pets,Unknown,4.0,G - All Ages,,,194352.0,13522,581,2,2018.0
23901,Lovely Movie: Itoshi no Muco Season 2,ラブリームービー いとしのムーコ シーズン２,Lovely Movie Lovely Muuuuuuuco! Season 2,Second season of the Lovely Muco series.,TV,22.0,Finished Airing,"Apr 27, 2014","Oct 5, 2014",Unknown,Unknown,Doga Kobo,Manga,Slice of Life,Pets,Unknown,2.0,PG - Children,6.191,174.0,80402.0,12381,857,0,2014.0
4054,Norimono Oukoku BuBu ChaCha,ぶぶチャチャ,Unknown,"Bubu Chacha is about a dog who died due to a fateful accident and was resurrected as a toy car. Together, he and Randy learn many new things about the world and about friendship that never dies.",TV,26.0,Finished Airing,"Apr 29, 1999","Nov 25, 1999",Unknown,Unknown,Daume,Original,"Comedy, Slice of Life",Pets,Unknown,20.0,G - All Ages,6.691,297.0,53302.0,12538,811,1,1999.0
3836,Meiken Jolie,名犬ジョリィ,Belle and Sebastian,"After befriending a white Pyrenees dog he names Belle, Sebastian sets out on a journey to find the mother he knows is still alive. 

(Source: ANN)",TV,52.0,Finished Airing,"Apr 7, 1981","Jun 22, 1982","NHK, Toho",Unknown,Visual 80,Novel,Adventure,"Historical, Pets",Unknown,22.0,G - All Ages,6.691,1097.0,53272.0,8964,3012,7,1981.0
36418,Koneko no Chi: Ponponra Dairyokou,こねこのチー ポンポンらー大旅行,Unknown,"The second season of Koneko no Chii: Ponponra Daibouken is an original story written by mangaka Kanata Konami with ""travel"" as theme.",TV,25.0,Finished Airing,"Apr 8, 2018","Sep 30, 2018",Unknown,Unknown,Marza Animation Planet,Original,Slice of Life,Pets,Unknown,12.0,G - All Ages,6.401,617.0,69792.0,9721,2283,1,2018.0
1617,Massugu ni Ikou.,まっすぐにいこう。,Unknown,"A talking dog is a beautiful story that you should have dreamt of as a child. But if you have forgotten about it, this is a reminder of that fable story. This is the story of a dog that talks, but ordinary people cannot hear his voice.

The main character, Mametaro, is an adventurous crossbreed dog. He loves his owner, Iku-chan and his girlfriend Hanako-chan very much. However, he just cannot stand Iku-chan's friend, Akiyoshi.
During this story, which will be told from Mametaro's point of view, the warm days of spring are finally here. The school and the riverbank, which is actually just an ordinary neighborhood for people, seems like a mysterious world that extends infinitely to little Mametaro and his friends.

(Source: AniDB)",TV,4.0,Finished Airing,"Aug 18, 2003","Aug 21, 2003",Yomiuri Telecasting,Unknown,Yumeta Company,Manga,"Comedy, Romance, Slice of Life",Pets,female,21.0,PG - Children,6.391,966.0,69842.0,8441,3673,7,2003.0
31361,Neko Enikki,猫絵日記,Unknown,"The autobiographical manga utilizes both drawings and photos of cats to chronicle the life of a woman who lives by herself in order to live with her cats. She is described as a ""himono-onna,"" a Japanese slang word that means ""a woman who is proper in public but lazy at home.""

(Source: ANN)",TV,13.0,Finished Airing,"Aug 2, 2015","Sep 24, 2015",comico,Unknown,Kachidoki Studio,Web manga,"Comedy, Slice of Life",Pets,Unknown,,G - All Ages,,,137972.0,14996,378,0,2015.0
49431,Kanashiki Debu Neko-chan,かなしきデブ猫ちゃん,Unknown,"The anime's story centers on a cat named Maru, adopted by a girl named Anna from a shelter in Matsuyama city. Loved and well fed by the family, Maru gets rounder and fatter every day, spending most of his day sitting by the window and looking at the garden outside. When the family gets a new cat named Cerisier and begins doting on it, Maru gets jealous. In a fight with Cerisier, Maru is hurt by the family's words to him, and follows the advice of another cat to leave and see the world.

(Source: ANN)",TV,10.0,Finished Airing,"Dec 6, 2021","Dec 17, 2021","NHK, NHK Enterprises",Unknown,Cyclone Graphics,Other,Slice of Life,Pets,Unknown,3.0,G - All Ages,,,190362.0,8922,3058,38,2021.0
39942,Uchi Tama?! Uchi no Tama Shirimasen ka?,うちタマ?!~うちのタマ知りませんか?~,Uchitama?! Have you seen my Tama?,"The animals of Third Street are seen getting into many misadventures. Tama Okamoto, the curious feline, often goes missing from his home, causing his owner to have posters up looking for him. However, Tama's absence is his opportunity to visit all of his wandering furry friends around the neighborhood. From Tama's best friend Pochi Yamada to the stray alley cat Nora, these animals take human form to hang out, to cause various mischief, but most of all, to have fun!

[Written by MAL Rewrite]",TV,11.0,Finished Airing,"Jan 10, 2020","Mar 20, 2020","Aniplex, Dentsu, Fuji TV, Sony Creative Products",Aniplex of America,"MAPPA, Lapin Track",Original,Slice of Life,"Iyashikei, Pets",Unknown,23.0,PG-13 - Teens 13 or older,6.951,6533.0,41232.0,4168,21410,69,2020.0
40136,Oda Cinnamon Nobunaga,織田シナモン信長,Oda Cinnamon Nobunaga,"In the ""one-of-a-kind samurai-general-reincarnated-as-a-canine comedy,"" Nobunaga perishes at Honnouji as in history, and reincarnates in modern-day Japan as a dog named Shinamon. Other Warring States era warlords such as Takeda Shingen eventually join him, also as dogs.

(Source: ANN)",TV,12.0,Finished Airing,"Jan 11, 2020","Mar 28, 2020","TV Tokyo, Dentsu, Shochiku, Avex Pictures, Amuse, Sammy, North Stars Pictures, Mixer",Unknown,Studio Signpost,Manga,"Comedy, Slice of Life","Anthropomorphic, Historical, Pets, Reincarnation",teenager,23.0,PG-13 - Teens 13 or older,6.581,7074.0,59022.0,4395,19182,39,2020.0
35828,Miira no Kaikata,ミイラの飼い方,How to Keep a Mummy,"High school student Sora Kashiwagi is accustomed to receiving bizarre presents from his father, who is on an expedition around the world. Unfortunately, these gifts have been nothing but nightmares. As a result, when his father sends him a huge package from Egypt, Sora prepares himself for the worst, only to be greeted by Mii-kun—a cute, pint-sized mummy! While initially wary, Sora soon learns that Mii-kun is harmless, a delicate creature yearning for attention.

Throughout their amusing day-to-day lives, the unlikely pair meet other people with unique pets, while also strengthening their bond together. Although keeping a pet is a difficult task, Sora is set on caring for the lovable Mii-kun.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Jan 12, 2018","Mar 30, 2018","TBS, Grooove, Nichion, Exit Tunes, ONEMUSIC, Crunchyroll SC Anime Fund",Unknown,8bit,Web manga,"Comedy, Slice of Life, Supernatural",Pets,Unknown,24.0,PG-13 - Teens 13 or older,7.471,48567.0,17522.0,1536,122323,645,2018.0
