ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
12461,Hiiro no Kakera,緋色の欠片,Hiiro no Kakera The Tamayori Princess Saga,"Gods and ghosts only exist in fairy tales, right? That's the impression that high school girl Tamki Kasuga has before she goes to live with her grandmother in the remote village of Kifumura. After being attacked by strange creatures upon her arrival, she is soon informed that females in her family contain the blood of the Tamayori Princess, who has the responsibility and power of keeping gods and ghosts sealed away so that they can't harm the general public. At first Tamaki has trouble believing this, but having five beautiful young men following her everywhere she goes acting as her guardians goes a long way towards convincing her.

There's more to this job than Tamaki first realizes, however, and the path that lies ahead of her is fraught with peril and danger. Will she be able to successfully take on the heavy role that has been put on her shoulders?",TV,13.0,Finished Airing,"Apr 1, 2012","Jun 24, 2012","Bandai Visual, Yomiuri Telecasting, Lantis, Kids Station, Movic, DAX Production, Yomiuri TV Enterprise",Sentai Filmworks,Studio Deen,Visual novel,"Fantasy, Romance, Supernatural",Reverse Harem,young girl,24.0,PG-13 - Teens 13 or older,6.711,44407.0,52702.0,1718,106668,386,2012.0
100,Shin Shirayuki-hime Densetsu Prétear,新白雪姫伝説プリーティア,Prétear The New Legend of Snow White,"Due to her father's remarriage, robust 16-year-old Himeno Awayuki moves into a large mansion with a beautiful garden—the quintessential dream house for any girl her age. However, much to Himeno's disappointment, her new stepfamily doesn't really seem to like her, as her stepmother often occupies herself with her father, her younger stepsister Mawata ignores her, and her other stepsister—the equally aged Mayune—tries to prank her at every opportunity.

But Himeno doesn't have time to dwell into thoughts of hopelessness—her new life has now become involved with a group of seven magical boys known as the Leafe Knights, after they ask her to become a magical princess who can borrow their powers! Although Himeno accepts their request and becomes the Prétear, she feels doubtful in her abilities to protect the world and its Leafe, the source of energy for all life. Will Himeno be able to find happiness among her new family and also save the Earth from the enemy, the Princess of Disaster?

[Written by MAL Rewrite]",TV,13.0,Finished Airing,"Apr 4, 2001","Jun 27, 2001","Kadokawa Shoten, Rondo Robe","ADV Films, Funimation",Hal Film Maker,Manga,"Comedy, Drama, Fantasy, Romance","Mahou Shoujo, Reverse Harem, Super Power",young girl,23.0,PG-13 - Teens 13 or older,7.171,27571.0,31132.0,2465,59961,395,2001.0
12711,Uta no☆Prince-sama♪ Maji Love 2000%,うたの☆プリンスさまっ♪ マジLOVE2000%,Uta no Prince Sama 2,"Entering her Master's course, Nanami Haruka is facing an even more difficult time. And she isn't the only one. The main six members of Starish are assigned new seniors to watch over them! But the seniors aren't having the best attitudes about it. 

Watch Uta no☆Prince-sama♪ Maji Love 2000% and find yourself completely engaged in a whole new adventure mixed in with comedy and romance!",TV,13.0,Finished Airing,"Apr 4, 2013","Jun 27, 2013","Showgate, King Records",Sentai Filmworks,A-1 Pictures,Visual novel,"Comedy, Romance","Idols (Male), Music, Reverse Harem, School",young girl,25.0,PG-13 - Teens 13 or older,7.191,53862.0,30492.0,1708,107771,530,2013.0
853,Ouran Koukou Host Club,桜蘭高校ホスト部,Ouran High School Host Club,"Haruhi Fujioka is a studious girl who has recently enrolled at the prestigious Ouran Academy. One day, while looking for a quiet and peaceful place to study, she stumbles across a seemingly unused music room. Upon entering, Haruhi is welcomed by the members of the well-known Host Club: a club in which attractive boys amuse girls from across the entire school. However, when Tamaki Suou—the founder and president of the club—startles the bright scholarship student, she accidentally breaks an expensive vase.

With repayment looking difficult for Haruhi, the Host Club members come up with the perfect solution to the girl's problem: work for the club and ultimately become a Host herself! Mistaken for a boy by her peers, Haruhi has to entertain various female students while coping with her fellow Hosts' extravagant personalities.

[Written by MAL Rewrite]
",TV,26.0,Finished Airing,"Apr 5, 2006","Sep 27, 2006","VAP, Hakusensha, Nippon Television Network",Funimation,Bones,Manga,"Comedy, Romance","Crossdressing, Reverse Harem, School",young girl,23.0,PG-13 - Teens 13 or older,8.161,628618.0,3702.0,119,1031971,31655,2006.0
5835,Hanasakeru Seishounen,花咲ける青少年,Unknown,"Kajika Louisa Kugami Burnsworth is the only daughter of Harry Burnsworth, an influential and respected industrialist who has the power to move the world. There was a threat on Kajika’s life when she was just two years old, and her mother died protecting her. After this tragic incident, Harry sent his only child to an isolated island, Giviolle, where she was raised by the island’s native, Maria. Kajika’s companions during her time there include a white leopard named Mustafa and a boy named Li Ren Fang, who visited her two or three times a year.

Kajika, now fourteen, returns to her father's side, only to be told to begin a game to find her future husband. Harry makes sure that Kajika willingly participates in this game by telling her that she needs to face the harshness of her fate along with the man she chooses to be her husband. She needs to decide among the three candidates that Harry has personally chosen, but it won’t be easy. Kajika must figure out who they are and where they are without any information to go on except that they all possess an irresistible brilliance and charm. All the while, the men aren't even aware that they are the chosen ones. Kajika must also choose wisely, as her partner has to willingly accept her to be his bride.

Hansakeru Seishounen revolves around endearing love, intense passion, noble friendship, undying loyalty, family relations, and political intrigue. The heaviness of Kajika’s fate is real, the threat on Kajika’s life is inevitable, and the husband game is more than just a mere game. Harry needs to find a suitable partner to protect his daughter before someone discovers Kajika’s deep secret—a secret even she is unaware of.",TV,39.0,Finished Airing,"Apr 5, 2009","Feb 14, 2010",Unknown,Discotek Media,Pierrot,Manga,"Drama, Romance",Reverse Harem,young girl,24.0,PG-13 - Teens 13 or older,7.701,25284.0,11182.0,2341,65312,565,2009.0
21439,Uta no☆Prince-sama♪ Maji Love Revolutions,うたの☆プリンスさまっ♪マジLOVEレボリューションズ,Uta no Prince Sama Revolutions,"The third anime adaptation of the otome game Uta no☆Prince-sama♪.

Starish are given new assignments in newly divided teams, and they do their best in order to try and impress Shining Saotome into allowing their entry to SSS, a top level music contest. Meanwhile, Haruka works with the Quartet Night. ",TV,13.0,Finished Airing,"Apr 5, 2015","Jun 28, 2015","Showgate, King Records",Sentai Filmworks,A-1 Pictures,Visual novel,"Comedy, Romance","Idols (Male), Music, Reverse Harem, School",young girl,24.0,PG-13 - Teens 13 or older,7.011,24046.0,38702.0,2537,56858,217,2015.0
38555,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…,My Next Life as a Villainess All Routes Lead to Doom!,"Most people would prefer being the protagonist of a world full of adventure, be it in a game or in another world. But, unfortunately, a certain girl is not so lucky. Regaining the memories of her past life, she realizes that she was reborn in the world of Fortune Lover—one of the games she used to play.

Unfortunately, the character she was reincarnated into—Catarina Claes—is the game's main antagonist, who faces utter doom in every ending. Using her extensive knowledge of the game, she takes it upon herself to escape from the chains of this accursed destiny.

However, this will not be an easy feat, especially since she needs to be cautious as to not set off death flags that may speed up the impending doom she is trying to avoid. Even so, to make a change that will affect the lives of everyone around her, she strives—not as the heroine—but as the villainess.

[Written by MAL Rewrite]
",TV,12.0,Finished Airing,"Apr 5, 2020","Jun 21, 2020","Mainichi Broadcasting System, Asmik Ace, King Records, Ichijinsha, Nichion",Crunchyroll,SILVER LINK.,Light novel,"Comedy, Drama, Fantasy, Romance","Reincarnation, Reverse Harem, School",young girl,24.0,PG-13 - Teens 13 or older,7.481,208326.0,17182.0,502,383627,2602,2020.0
123,Fushigi Yuugi,ふしぎ遊戯,Mysterious Play,"During a visit to the National Library, Miaka Yuuki and Yui Hongo stumble upon a strange old book that casts a red light, sucking them inside its unfamiliar world. Upon arrival, the two encounter hostile slave traders and barely escape with the help of Tamahome—a powerful young man bearing a Chinese symbol on his forehead. But, a moment later, the red light returns and takes Yui away. 

Desperate to reunite with her companion, Miaka asks Tamahome for assistance. However, the situation escalates when the pair encounters the land's emperor, Hotohori, who believes Miaka is the foretold priestess of the kingdom's protector god Suzaku. By gathering the god's seven Celestial Warriors, the priestess can summon Suzaku and have all her wishes granted. Hotohori hopes this will save his country, and since it appears to be a fitting solution to the girl's problems as well, he convinces her to accept the role.

Meanwhile, at the library, Yui realizes she has been brought back alone. Unable to intervene, she helplessly witnesses Miaka traversing through courageous trials as the mysterious book's heroine.

[Written by MAL Rewrite]",TV,52.0,Finished Airing,"Apr 6, 1995","Mar 28, 1996","TV Tokyo, Shogakukan-Shueisha Productions, Yomiko Advertising, Apollon","Media Blasters, Geneon Entertainment USA",Pierrot,Manga,"Adventure, Comedy, Drama, Fantasy, Romance","Historical, Isekai, Martial Arts, Reverse Harem",young girl,23.0,PG-13 - Teens 13 or older,7.621,49717.0,13072.0,1659,111191,1975,1995.0
20971,Kiniro no Corda: Blue♪Sky,金色のコルダ Blue♪Sky,La corda d'oro Blue♪Sky,"Soon after transferring to Seisou Gakuin, Kanade finds the orchestra club in the middle of preparing for the National concur. Teaming up with the other members, she will improve her skills, meet new rivals and create memories for what will become an unforgettable summer...

(Source: La Corda D'oro Wikia)",TV,12.0,Finished Airing,"Apr 6, 2014","Jun 22, 2014",Koei,Unknown,TYO Animations,Visual novel,Unknown,"Music, Reverse Harem, School",young girl,23.0,PG-13 - Teens 13 or older,6.411,9956.0,68952.0,3841,25708,33,2014.0
21563,Kamigami no Asobi,神々の悪戯,Kamigami no Asobi,"After discovering a mysterious sword in the storehouse of her home, third-year high school student Yui Kusanagi finds herself suddenly transported to a different world. While exploring her new surroundings, she meets five strange yet handsome men before coming face to face with Zeus: the king of the gods. 

In order to restore the deteriorating relationship between the gods and humans, Zeus has created the Academy of the gods and has chosen Yui to be its one and only instructor. She has one year to educate the young and reluctant deities—including the five strangers she met earlier—on what it means to be human while learning about the gods herself; otherwise, they will all be trapped in Zeus' realm forever.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Apr 6, 2014","Jun 22, 2014","Frontier Works, Broccoli, Movic, Showgate",Sentai Filmworks,Brain's Base,Visual novel,"Fantasy, Romance, Supernatural","Isekai, Reverse Harem",young girl,23.0,PG-13 - Teens 13 or older,7.021,61985.0,38472.0,1410,137245,732,2014.0
1914,Saiunkoku Monogatari 2nd Season,彩雲国物語 第2シリーズ,Tales of Saiunkoku,"Shuurei Kou and her friend Eigetsu To, a boy prodigy of humble origins, have been appointed co-governors of the Sa province, one of the eight provinces in Saiunkoku. Together, they decide to make the province an academic research center in the hopes of bringing a long overdue prosperity to the region.

However, while Shuurei goes to the capital to obtain approvals for the ambitious project, the Sa province's recently established tranquility is threatened by a pandemic that brings both death and turmoil as it begins to spread among the people. Counting on Eigetsu to monitor the situation until her return, Shuurei seeks support from her allies to find a suitable treatment. Yet, Eigetsu's past personal conflicts distract him, providing an opportunity for opponents of Shuurei's position to take advantage of the troubles and undermine her authority.

Becoming a government official has been Shuurei's lifelong dream, but it is no easy task for the first woman undertaking such a position. Will she step up and overcome this great challenge or give in to the looming adversities?

[Written by MAL Rewrite]",TV,39.0,Finished Airing,"Apr 7, 2007","Mar 8, 2008","NHK, Sogo Vision",Unknown,Madhouse,Light novel,"Adventure, Comedy, Drama, Fantasy, Romance","Historical, Reverse Harem",Unknown,25.0,PG-13 - Teens 13 or older,8.031,17184.0,5292.0,3132,38678,193,2007.0
3615,Neo Angelique Abyss,ネオアンジェリーク Abyss,Unknown,"While the young Angelique lives out her days peacefully in her school, attacks from the monstrous Thanatos has been increasing everywhere else. Two Purifiers show up one day, men with the power to exterminate the Thanatos. One of them, Nyx, attempts to convince Angelique to join them in their work, as she has the power to be the only female Purifier. As Angelique hesitates, a Thanatos shows up in their school. Nyx and the other Purifier, Rayne, fight a losing battle. With her classmates falling prey to the Thanatos, and the Purifiers beaten to submission, Angelique's desire to save everyone awakens. She became the only female Purifier in their land of Arcadia, the one known as the ""Queen's Egg"".",TV,13.0,Finished Airing,"Apr 7, 2008","Jun 30, 2008",Koei,Sentai Filmworks,Yumeta Company,Visual novel,"Comedy, Fantasy, Romance",Reverse Harem,young girl,24.0,PG-13 - Teens 13 or older,6.811,14615.0,47402.0,3250,36042,115,2008.0
957,Saiunkoku Monogatari,彩雲国物語,The Story of Saiunkoku,"Shuurei Kou, the daughter of a noble yet impoverished family, is a clever young lady who dreams of becoming a government official and contributing toward her country. However, her dream is out of her reach as such a position is forbidden to women. While her father works a low wage job as an archivist at the palace, Shuurei has to juggle odd jobs to make ends meet. Then, one day, an unexpected visit changes her life. 

Shuurei is called to assist Ryuuki Shi, the new emperor who is known for slacking on his duties and preferring the company of men. Tempted by the generous compensation, she readily accepts the chance to become the young emperor's consort for six months. Luckily, she is not alone as Seiran Shi, her trusty friend, joins her as Ryuuki's bodyguard. While tasked with transforming the new emperor into a responsible ruler, court life and politics prove troublesome as Shuurei faces the challenges of her new life.

Set in a fictional country, Saiunkoku Monogatari centers on the idea of meaningful leadership, its adversities and the rewards that come alongside a prospering nation.

[Written by MAL Rewrite]",TV,39.0,Finished Airing,"Apr 8, 2006","Feb 24, 2007","NHK, Sogo Vision","Funimation, Geneon Entertainment USA",Madhouse,Light novel,"Adventure, Comedy, Drama, Fantasy, Romance","Historical, Reverse Harem",Unknown,25.0,PG-13 - Teens 13 or older,7.891,33684.0,7222.0,1932,89921,1089,2006.0
33850,Nil Admirari no Tenbin,ニル・アドミラリの天秤,Libra of Nil Admirari,"The Taishou era didn't end in 15 years, but went on for another 25. In order to protect her waning family, a girl resolves to marry a man she doesn't even know the name of. However, just before the marriage was to take place, the girl's younger brother mysteriously committed suicide by self-immolation and was found holding an old book in his hands. Appearing before the bewildered young girl was the ""Imperial Library Intelligence Asset Management Bureau,"" more commonly referred to as ""Fukurou."" According to these men, there exists ""Maremono,"" which are books that greatly affect their readers. On top of that, ever since the incident involving the girl's younger brother, she unwittingly gains the ability to see ""Auras"" (the sentiments of the Maremono which manifest as bright lights and are usually invisible to humans). It was as though fate were trying to drag the young girl in its flames. And then, even though apprehensive, the girl chooses to venture outside her bird cage. Jealousy, hatred, scorn, compassion, and love. What awaited the girl was the darkness of betrayal that had already begun to bewitchingly inlay the imperial capital. Toyed by and swayed within that darkness, will the young girl finally reach the truth after her struggles, or...?

(Source: MAL News)",TV,12.0,Finished Airing,"Apr 8, 2018","Jun 24, 2018",Pony Canyon,Unknown,Zero-G,Visual novel,"Fantasy, Romance","Historical, Reverse Harem",female,23.0,PG-13 - Teens 13 or older,6.651,10688.0,55722.0,3207,36906,119,2018.0
1864,Koisuru Tenshi Angelique: Kagayaki no Ashita,恋する天使アンジェリーク ～かがやきの明日～,Loving Angel Angelique Radiant Tomorrow,"Ange is now trapped in the Seijuu Universe, and cannot leave until she awakens Seijuu's Queen. In order to do this, she must gather nine new guardians. It sounds like a fairly simple task, but how can she convince these men to tear away from their own lives and protect the life of another?",TV,12.0,Finished Airing,"Jan 6, 2007","Mar 24, 2007","Kids Station, Koei",Unknown,Satelight,Game,"Drama, Fantasy, Romance",Reverse Harem,young girl,24.0,PG-13 - Teens 13 or older,6.921,3178.0,42422.0,5616,10367,26,2007.0
15085,Amnesia,AMNESIA,Amnesia,"After fainting at work, a young lady awakens in the back room of the café she works at with no memory of her life or those around her. Two of her friends, whom she soon learns are named Shin and Toma, are called to help her get home safely. Once she is alone, she meets a spectral boy named Orion that only she can see and hear. He explains that she lost her memories because of his chance visit to her world, so he vows to help her remember who she is.

However, regaining her departed memories without worrying those around her may be more difficult than she realizes. In addition to the gloomy Shin and the protective Toma, she must be wary of arousing the suspicions of the captivating Ikki, the quick-witted Kent, and a mysterious man who lurks in the distance. As her amnesia entangles her in the lives of each of these men, her fragmented memories return piece by piece, and the mysteries of her circumstances slowly come to light.

[Written by MAL Rewrite]",TV,12.0,Finished Airing,"Jan 7, 2013","Mar 25, 2013","Geneon Universal Entertainment, Frontier Works, Movic, AT-X, DAX Production, Showgate",Sentai Filmworks,Brain's Base,Visual novel,"Fantasy, Mystery, Romance",Reverse Harem,Unknown,23.0,PG-13 - Teens 13 or older,6.001,142545.0,90752.0,726,280627,979,2013.0
